Temperature Index Change at Seasonal Resolution
-----------------------------------------------
Year+Season  Global  Low_Latitudes
----------------------------------
1880.29      -0.12      -0.05
1880.54      -0.16      -0.21
1880.79      -0.20      -0.11
1881.04      -0.16        0.0
1881.29       0.05        0.3
1881.54      -0.07       0.12
1881.79      -0.18      -0.04
1882.04       0.08       0.09
1882.29      -0.08        0.0
1882.54      -0.15       -0.2
1882.79      -0.18      -0.07
1883.04      -0.33      -0.06
1883.29      -0.16      -0.15
1883.54      -0.09      -0.15
1883.79      -0.19      -0.18
1884.04      -0.11      -0.15
1884.29      -0.37      -0.17
1884.54      -0.31      -0.16
1884.79      -0.28      -0.11
1885.04      -0.41      -0.16
1885.29      -0.37      -0.21
1885.54      -0.36      -0.28
1885.79      -0.25       0.06
1886.04      -0.34      -0.02
1886.29      -0.32      -0.06
1886.54      -0.28      -0.24
1886.79      -0.26      -0.27
1887.04      -0.51      -0.48
1887.29      -0.33      -0.37
1887.54      -0.28      -0.31
1887.79      -0.29      -0.12
1888.04      -0.34      -0.05
1888.29      -0.27       0.02
1888.54      -0.14        0.0
1888.79      -0.03       0.27
1889.04       0.02       0.41
1889.29       0.05       0.24
1889.54      -0.13        0.0
1889.79      -0.28      -0.16
1890.04      -0.39      -0.29
1890.29      -0.37      -0.32
1890.54      -0.31      -0.39
1890.79      -0.35       -0.4
1891.04      -0.37      -0.24
1891.29      -0.20      -0.05
1891.54      -0.18      -0.07
1891.79      -0.23      -0.02
1892.04      -0.14      -0.01
1892.29      -0.32      -0.28
1892.54      -0.27      -0.39
1892.79      -0.24      -0.34
1893.04      -0.58      -0.39
1893.29      -0.27      -0.43
1893.54      -0.21      -0.33
1893.79      -0.20      -0.31
1894.04      -0.37      -0.39
1894.29      -0.33      -0.42
1894.54      -0.29      -0.36
1894.79      -0.25      -0.22
1895.04      -0.35      -0.13
1895.29      -0.27      -0.19
1895.54      -0.19      -0.03
1895.79      -0.13       0.01
1896.04      -0.16      -0.02
1896.29      -0.23       0.06
1896.54      -0.06       0.02
1896.79      -0.02       0.21
1897.04      -0.12       0.32
1897.29      -0.06       0.23
1897.54      -0.08       0.17
1897.79      -0.13       0.08
1898.04      -0.17      -0.13
1898.29      -0.37      -0.26
1898.54      -0.22      -0.25
1898.79      -0.31      -0.17
1899.04      -0.26      -0.32
1899.29      -0.26      -0.26
1899.54      -0.19      -0.11
1899.79       0.01       0.09
1900.04      -0.22       0.14
1900.29      -0.06       0.18
1900.54      -0.10       0.12
1900.79      -0.01       0.21
1901.04      -0.13        0.1
1901.29      -0.04       0.02
1901.54      -0.16      -0.08
1901.79      -0.24      -0.11
1902.04      -0.17      -0.16
1902.29      -0.30      -0.03
1902.54      -0.30      -0.01
1902.79      -0.32        0.0
1903.04      -0.24      -0.05
1903.29      -0.35      -0.23
1903.54      -0.41      -0.23
1903.79      -0.47      -0.43
1904.04      -0.57      -0.62
1904.29      -0.50       -0.6
1904.54      -0.50      -0.46
1904.79      -0.38      -0.29
1905.04      -0.43      -0.27
1905.29      -0.29      -0.17
1905.54      -0.25      -0.03
1905.79      -0.17       0.01
1906.04      -0.24       0.02
1906.29      -0.17      -0.19
1906.54      -0.22       -0.2
1906.79      -0.29      -0.29
1907.04      -0.36      -0.37
1907.29      -0.37      -0.39
1907.54      -0.37      -0.27
1907.79      -0.35       -0.2
1908.04      -0.41      -0.36
1908.29      -0.46      -0.41
1908.54      -0.40      -0.45
1908.79      -0.44      -0.45
1909.04      -0.56      -0.45
1909.29      -0.56      -0.45
1909.54      -0.43      -0.47
1909.79      -0.36       -0.5
1910.04      -0.46      -0.54
1910.29      -0.42      -0.56
1910.54      -0.37      -0.37
1910.79      -0.45      -0.47
1911.04      -0.62      -0.51
1911.29      -0.56      -0.55
1911.54      -0.45      -0.51
1911.79      -0.30      -0.28
1912.04      -0.20      -0.11
1912.29      -0.26      -0.07
1912.54      -0.40      -0.17
1912.79      -0.52      -0.29
1913.04      -0.43      -0.34
1913.29      -0.42      -0.42
1913.54      -0.39      -0.24
1913.79      -0.30       -0.2
1914.04      -0.03      -0.09
1914.29      -0.25      -0.12
1914.54      -0.22      -0.16
1914.79      -0.12       0.01
1915.04      -0.10       0.03
1915.29      -0.04       0.06
1915.54      -0.19       0.03
1915.79      -0.20      -0.12
1916.04      -0.16      -0.23
1916.29      -0.31      -0.29
1916.54      -0.38      -0.45
1916.79      -0.39      -0.62
1917.04      -0.67      -0.87
1917.29      -0.58      -0.82
1917.54      -0.31      -0.47
1917.79      -0.34      -0.52
1918.04      -0.49      -0.59
1918.29      -0.38      -0.57
1918.54      -0.33      -0.36
1918.79      -0.12        0.0
1919.04      -0.25       0.07
1919.29      -0.21      -0.11
1919.54      -0.33      -0.36
1919.79      -0.30      -0.29
1920.04      -0.32      -0.27
1920.29      -0.21      -0.28
1920.54      -0.31       -0.3
1920.79      -0.26      -0.21
1921.04      -0.23      -0.33
1921.29      -0.28      -0.43
1921.54      -0.23      -0.24
1921.79      -0.12      -0.09
1922.04      -0.32      -0.16
1922.29      -0.23      -0.25
1922.54      -0.30      -0.38
1922.79      -0.28      -0.36
1923.04      -0.28      -0.37
1923.29      -0.36      -0.37
1923.54      -0.31      -0.33
1923.79      -0.15      -0.18
1924.04      -0.17      -0.03
1924.29      -0.19      -0.02
1924.54      -0.30       -0.3
